,index,d,ndvi,ls
0,0,1999-01-01,0.7248725903392627,7
1,3,1999-01-01,0.7979786687347379,7
2,7,2000-01-01,0.4769043260078566,7
3,9,2000-01-01,0.6103434772846589,7
4,10,2000-01-01,0.6070870126013744,7
5,14,2000-01-01,0.8290749251142346,7
6,15,2000-01-01,0.7774556605518569,7
7,18,2001-01-01,0.5035673772426502,7
8,23,2001-01-01,0.5786588622484038,7
9,32,2002-01-01,0.7358833225281342,7
10,36,2003-01-01,0.5100513182163794,7
11,38,2003-01-01,0.5474887423098255,7
12,39,2003-01-01,0.6121400740459676,7
13,40,2003-01-01,0.6711187480792744,7
14,42,2003-01-01,0.7916211014117353,7
15,43,2003-01-01,0.6265543992308932,7
16,45,2004-01-01,0.8312462250218727,7
17,46,2004-01-01,0.700565001336797,7
18,47,2005-01-01,0.8359114312025689,7
19,48,2006-01-01,0.8041838059681925,7
20,49,2006-01-01,0.7977001892756103,7
21,52,2008-01-01,0.7647891982444939,7
22,54,2009-01-01,0.8054609147791262,7
23,55,2009-01-01,0.7268545986145688,7
24,57,2010-01-01,0.7740457153284138,7
25,60,2011-01-01,0.8457345308042229,7
26,62,2011-01-01,0.7334523226715324,7
27,64,2011-01-01,0.7361165026184683,7
28,65,2012-01-01,0.8028597259555268,7
29,66,2012-01-01,0.6639916605189865,7
30,69,2013-01-01,0.6086506380345992,7
31,70,2014-01-01,0.5217766030598728,7
32,72,2014-01-01,0.8220587224619443,7
33,75,2014-01-01,0.7528639177027436,7
34,78,2015-01-01,0.6362078963035553,7
35,81,2015-01-01,0.8122284425957642,7
36,88,2016-01-01,0.7249926417378019,7
37,89,2016-01-01,0.6955547702276085,7
38,92,2016-01-01,0.8225754739170724,7
39,94,2016-01-01,0.8037427064534651,7
40,95,2016-01-01,0.7945591370365032,7
41,99,2017-01-01,0.518700267835454,7
42,100,2017-01-01,0.8144955499015384,7
43,102,2017-01-01,0.8076448299329315,7
44,103,2017-01-01,0.020274212116650807,7
45,105,2017-01-01,0.6270567557914019,7
46,108,2018-01-01,0.4778795558482114,7
47,111,2018-01-01,0.5367965140928808,7
48,116,2018-01-01,0.821256454969515,7
49,119,2018-01-01,0.7077013710548021,7
50,121,2019-01-01,0.5894354784731559,7
51,123,2019-01-01,0.6862795156090975,7
52,124,2019-01-01,0.8400140132605302,7
53,129,2019-01-01,0.7842802062774282,7
54,132,2019-01-01,0.7294263792284197,7
55,136,2020-01-01,0.5671828306468705,7
56,137,2020-01-01,0.6536347760145118,7
57,139,2020-01-01,0.7560361204951089,7
58,142,2020-01-01,0.8326306853648904,7
59,144,2021-01-01,0.6113914008120318,7
60,150,2000-01-01,0.40661740522977236,7
61,151,2000-01-01,0.5107718478563656,7
62,152,2000-01-01,0.5705615271470866,7
63,153,2000-01-01,0.6223089769209084,7
64,154,2000-01-01,0.667943811558133,7
65,155,2000-01-01,0.7460263493674127,7
66,165,2001-01-01,0.6993026405053814,7
67,170,2001-01-01,0.8189492584841889,7
68,171,2001-01-01,0.7988491451579656,7
69,172,2001-01-01,0.7603900916508467,7
70,174,2002-01-01,0.6051517960217453,7
71,177,2002-01-01,0.7369217019416453,7
72,179,2002-01-01,0.7506894587157317,7
73,183,2003-01-01,0.4977464052167791,7
74,184,2003-01-01,0.42603663602114417,7
75,185,2003-01-01,0.569030092135254,7
76,186,2003-01-01,0.37508526844354534,7
77,188,2003-01-01,0.710563971317137,7
78,189,2003-01-01,0.5315257566621614,7
79,190,2004-01-01,0.8093787114425635,7
80,192,2005-01-01,0.7129380616705373,7
81,195,2007-01-01,0.6773588258014814,7
82,197,2009-01-01,0.6190519693617162,7
83,198,2009-01-01,0.8305579449002616,7
