,index,d,ndvi,ls
0,5,1986-01-01,0.009661826529870726,6
1,8,1988-01-01,0.5394727634992231,6
2,9,1988-01-01,0.5054275954324697,6
3,10,1988-01-01,0.6127622733144928,6
4,11,1988-01-01,0.7124008882500503,6
5,12,1988-01-01,0.6233953606064492,6
6,14,1988-01-01,0.62976279618475,6
7,15,1988-01-01,0.5488109980688842,6
8,17,1989-01-01,0.5881303420117069,6
9,18,1989-01-01,0.6105851023779747,6
10,19,1989-01-01,0.6965326582336646,6
11,23,1990-01-01,0.6456056613839034,6
12,25,1990-01-01,0.648538190387611,6
13,27,1991-01-01,0.48067742389303664,6
14,29,1991-01-01,0.6245957886776236,6
15,32,1992-01-01,0.4657727947952385,6
16,33,1992-01-01,0.6306051670246829,6
17,34,1992-01-01,0.5464628843962106,6
18,35,1992-01-01,0.5700635580436347,6
19,36,1993-01-01,0.4340125408752909,6
20,38,1993-01-01,0.7980847089419169,6
21,39,1994-01-01,0.46579640250510274,6
22,41,1994-01-01,0.6914270562047332,6
23,47,1995-01-01,0.7781350003477362,6
24,48,1995-01-01,0.7814895261168265,6
25,50,1995-01-01,0.6639447704830765,6
26,52,1995-01-01,0.6776976002490394,6
27,57,1999-01-01,0.5404805612912453,6
28,58,1999-01-01,0.5396513160019785,6
29,64,2000-01-01,0.5071153131199259,6
30,66,2001-01-01,0.7287297610480425,6
31,67,2001-01-01,0.7277842781215862,6
32,70,2002-01-01,0.00016204715655197417,6
33,71,2002-01-01,0.6218264389714301,6
34,74,2003-01-01,0.5377519887551745,6
35,76,2004-01-01,0.18509849620720725,6
36,79,2004-01-01,0.7846481123500162,6
37,82,2005-01-01,0.1316011245406764,6
38,84,2005-01-01,0.6979670207223122,6
39,86,2005-01-01,0.6474356942260763,6
40,87,2005-01-01,0.7574086007080283,6
41,90,2006-01-01,0.42834608321619405,6
42,91,2006-01-01,0.6513571455000582,6
43,93,2006-01-01,0.7830997390988776,6
44,95,2006-01-01,0.7678022270574916,6
45,97,2007-01-01,0.1116698933454065,6
46,99,2007-01-01,0.6460557002362426,6
47,103,2008-01-01,0.7830124768695259,6
48,104,2008-01-01,0.7685332392103648,6
49,105,2009-01-01,-0.09175497544585165,6
50,109,2009-01-01,0.6901797551618428,6
51,110,2010-01-01,0.6908998115207788,6
52,111,2010-01-01,0.7175098073364798,6
53,112,2011-01-01,0.6347338935574229,6
54,113,2011-01-01,0.7641945271378949,6
55,115,1984-01-01,0.48956688449542196,6
56,117,1984-01-01,0.23654220818882046,6
57,118,1984-01-01,0.7117633777513973,6
58,119,1984-01-01,0.6867240189877883,6
59,120,1985-01-01,0.28903041226800547,6
60,122,1985-01-01,0.7357994685588487,6
61,126,1986-01-01,0.7003799250299589,6
62,129,1986-01-01,0.5166210598266539,6
63,131,1987-01-01,0.5083737542020865,6
64,132,1987-01-01,0.5700122496188146,6
65,133,1987-01-01,0.7701833385435465,6
66,134,1987-01-01,0.579332760784972,6
67,136,1987-01-01,0.5278015244287263,6
68,137,1988-01-01,0.5135090841467838,6
69,140,1988-01-01,0.7233609485355329,6
70,143,1988-01-01,0.655900693991858,6
71,144,1988-01-01,0.47160588042654317,6
72,145,1988-01-01,0.5699474305417861,6
73,146,1989-01-01,0.6402620428915977,6
74,150,1989-01-01,0.6906366134325344,6
75,151,1989-01-01,0.7262690936165376,6
76,153,1989-01-01,0.6433668149590225,6
77,155,1989-01-01,0.4602882061471518,6
78,156,1990-01-01,0.6315172340181191,6
79,158,1990-01-01,0.7535803003894597,6
80,159,1990-01-01,0.6895853235810102,6
81,163,1991-01-01,0.5969053686684632,6
82,164,1992-01-01,0.3544045459850094,6
83,165,1992-01-01,0.08369520844272196,6
84,166,1992-01-01,0.42280235981378783,6
85,169,1992-01-01,0.6860313240902266,6
86,172,1992-01-01,0.40670988016222404,6
87,174,1993-01-01,0.43876947395863236,6
