"src_id","station_name","historic_county","station_latitude","station_longitude","station_elevation","years_of_hourly","R","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018","R_2019"
395,"HOLBEACH NO 2","lincolnshire",52.873,0.139,3,25,409.388764807549,"355.778243","205.634083","227.189569","416.031162","593.754054","373.081270","534.416638","552.285931","354.245983","584.663359","319.903638","426.243960","682.588433","344.616407","838.848517","220.772896","276.257250","358.274573","180.146501","295.754790","315.886134","518.709345","369.615005","262.237586","627.783795"
842,"HURN","dorset",50.779,-1.836,10,24,645.726989852923," 623.28913","1488.16649"," 466.74700"," 599.81484"," 774.91178"," 944.86046"," 973.08576"," 664.45124"," 429.78205"," 405.62246"," 473.33352",NA," 547.00269"," 646.68348"," 463.58820"," 463.88223"," 291.03305"," 836.42086"," 559.05293"," 779.51100"," 614.73850"," 873.53385"," 585.29115"," 470.09967"," 522.54543"
177,"INVERBERVIE NO 2","kincardineshire",56.852,-2.266,134,22,343.88587231796,"539.368925","238.275131","331.750168","422.877323","251.106509","432.577151","207.541349",NA,"169.755147","274.328911","307.841343","312.765440","372.121426","362.313043","382.947161",NA,"330.550315","417.696832","317.717060",NA,"420.849647","563.436783","343.885283","224.835492","340.948753"
23417,"ISLAY: PORT ELLEN","argyll-in-strathclyde-region",55.681,-6.25,17,21,706.118122978236,NA,NA,NA,NA,"680.56577","937.62681","523.63805","577.00415","412.66023","497.04278","942.81026","930.06222","661.09413","655.81429","895.70774","544.45438","795.88189","704.83479","601.05818","730.43928","741.50674","692.46295","770.87890","700.53445","832.40258"
1319,"ISLE OF PORTLAND","dorset",50.522,-2.456,52,24,569.677971421609,"1648.52590",NA," 357.00922"," 350.39173"," 333.62411","4016.88396"," 292.03170"," 391.71033"," 257.68737"," 209.32820"," 335.45183"," 257.32637"," 354.22604"," 382.43938"," 343.94444"," 296.76546"," 531.82210"," 572.89557"," 349.73264"," 436.00959"," 612.78134"," 392.48513"," 307.13742"," 278.33041"," 363.73106"
726,"KENLEY AIRFIELD","greater-london",51.304,-0.092,170,22,685.09526619461,NA,NA,"1171.94950",NA," 878.56144","1185.97764"," 629.24496"," 700.42811"," 448.50899"," 595.28186"," 376.44612"," 840.86369","1183.78545"," 610.41704"," 502.09176"," 444.98096"," 374.55907"," 529.89479"," 620.14497"," 643.76436"," 500.05108","1221.78772"," 437.61054"," 463.82469"," 711.92113"
1060,"KESWICK","cumbria",54.614,-3.157,81,21,1093.57886498337,"1065.04328"," 713.82727",NA," 984.26775",NA,"1534.46372"," 615.75372","1093.87449"," 516.18503"," 913.08020","1470.26513","1130.86001"," 840.06002","1444.20041","1365.15873"," 584.58442","1001.44926",NA,NA,"1143.99235","2147.65437","1146.75770","1048.33809"," 911.90491","1293.43528"
48,"KINBRACE, HATCHERY","sutherland",58.23,-3.922,103,17,356.137523600185,NA,NA,NA,NA,NA,"672.10907","460.65053","390.90742","304.43613","445.79674","335.91852","438.56801","193.40679","270.46964","401.65567",NA,"272.73435","193.07323","269.50049","369.96773","294.33158","468.25140",NA,NA,"272.56059"
132,"KINLOSS","moray-in-grampian-region",57.645,-3.563,5,23,330.975168852395,NA,NA,"365.582610","367.720293","306.510085","214.051729","199.644207","540.601154","173.009544","688.810857","250.738049","292.296676","236.113977","179.260553","363.845782","268.432097","517.997716","271.318464","285.103535","755.626823","220.598086","366.956126","288.119462","147.400698","312.690359"
23,"KIRKWALL","orkney",58.953,-2.901,26,17,358.322265879375,NA,NA,NA,NA,NA,"301.31709",NA,"352.66530",NA,"372.08033","281.05273","482.97758","418.50527","286.17744","360.68620","263.97840","322.33246","364.77812","431.78204","434.73610","369.04044",NA,"454.54040","268.71031","326.11832"
